ubicacion;entidad;codigoAlfanumerico;speakerType;Type;FWVersion;HWVersion;misc;serial;fecha;centroDeCosto;proveedor
STOCK;Front control box;FCB349;;2GB,64GB;;DV, TJBA;;47000018;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB1073;;4GB,64GB;;QC;;1498;;01 - IS Exterior;Honda
STOCK;Touchpad;TP374;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB957;;4GB,64GB;;dan0;;62000032;;01 - IS Exterior;Honda
STOCK;Hud;HUD009;;N/A;;?;;;;01 - IS Exterior;Honda
STOCK;Steering Wheel Controls;AST429;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;HUD;HUD069;;N/A;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB1091;;4GB,64GB;;QC;;1407;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000531;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Meter;MTR645;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB1072;;4GB,64GB;;QC;;1496;;01 - IS Exterior;Honda
STOCK;Meter;MTR376;;TBD;GP:  VP: ;dan0;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB756;;4GB,64GB;;dan0;;58000285;;01 - IS Exterior;Honda
STOCK;Touchpad;TP147;;TBD;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB164;;2GB,64GB;;dan0;;91000204;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP593;;TBD;;MP;;;;01 - IS Exterior;Honda
STOCK;Mocca;1602100142;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB1075;;4GB,64GB;;QC;;1431;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP120;;THRA;;dan0;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB355;;2GB,64GB;;DV, TJBA;;47000016;;01 - IS Exterior;Honda
STOCK;Touchpad;TP373;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB163;;2GB,32GB;;dan0;;91000288;;01 - IS Exterior;Honda
STOCK;Front control box;FCB358;;2GB,64GB;;DV, TJBA;;47000013;;01 - IS Exterior;Honda
STOCK;Most2Go;M2G55;;;;?;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB409;;4GB,64GB;;DV, TJBA;;52000004;;01 - IS Exterior;Honda
STOCK;Front control box;FCB429;;2GB,32GB;;DV, TJBA;;53000006;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB430;;2GB,32GB;;DV, TJBA;;53000007;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP547;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP30;;TBD;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB431;;2GB,32GB;;DV, TJBA;;53000008;;01 - IS Exterior;Honda
STOCK;Touchpad;TP358;;TBD;C809A461;TJBA;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB442;;2GB,TBD;;DV, TJBA;;53000006;;01 - IS Exterior;Honda
STOCK;Front control box;FCB443;;2GB,32GB;;DV, TJBA;;53000011;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB456;;2GB,64GB;;DV, TJBA;;56000085;;01 - IS Exterior;Honda
STOCK;Touchpad;TP350;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB603;;2GB,32GB;;dan0;;59000112;;01 - IS Exterior;Honda
STOCK;Front control box;FCB662;;4GB,64GB;;dan0;;58000075;;01 - IS Exterior;Honda
STOCK;Touchpad;TP370;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP229;;TBD;;1s,TJBA;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB744;;2GB,64GB;;DAN0;;58000127;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP254;;11;;1S;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP273;;11;;1S,TJBA,db;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP257;;11;;1s,TJBA;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP270;;11;;TJBA,db;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP382;;9;;dan0;;;;01 - IS Exterior;Honda
STOCK;Amplifier;AMP230;;16;;1S, TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP202;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP203;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP204;;IC4;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Center Display;CTRDSP206;;IC4;;TJBA;;;;01 - IS Exterior;Honda
