ubicacion;entidad;codigoAlfanumerico;speakerType;Type;FWVersion;HWVersion;misc;serial;fecha;centroDeCosto;proveedor
STOCK;Mic;IMIC13;;;;?;;;;01 - IS Exterior;Honda
STOCK;Mocca;1608080557;;TBD;;N/A;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000532;;TBD;;N/A;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000524;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000383;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT479;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT480;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT492;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Speakers ID And Type:;NA41;8CM=6;TBD;;?;;;;01 - IS Exterior;Honda
BENCH01;Most2Go;NA42;;TBD;;?;;;;01 - IS Exterior;Honda
BENCH15;Most2Go;NA43;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Speakers ID And Type:;SUBWOOFER=6;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Front control box;NA53;;TBD;;DAN0;broken;;;01 - IS Exterior;Honda
STOCK;Front control box;NA54;;TBD;;?;NO FUNCIONA;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB451;;TBD;;DV, TJBA;broken;56000014;;01 - IS Exterior;Honda
BENCH19;Touchpad;NA44;;TBD;;DV;;;;01 - IS Exterior;Honda
STOCK;TCU;TCU128;;;;?;;;;01 - IS Exterior;Honda
STOCK;TCU;TCU264;;;;?;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP367;;TBD;;DV;MISSING;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP055S;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP135;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Front control box;FCB162;;TBD;;dan0;NO FUNCIONA;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP154;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP27;;TBD;;TJBA;MISSING;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP345;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP352;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP346;;TBD;;DAN0;MISSING;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP359;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP362;;TBD;;DAN0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT496;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Mocca;1608080560;;TBD;;N/A;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000529;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000426;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000526;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;TCU;TCU227;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Front Control Box;FCB950;;2GB,32GB;;dan0;;59000100;;01 - IS Exterior;Honda
STOCK;Front control box;FCB955;;2GB,32GB;;dan0,crash;;62000029;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT522;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT537;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT224;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Most2Go;M2G43;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Mic;MIC14;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP41;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Most2Go;AUS152000533;;TBD;;?;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP45;;TBD;;TJBA;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP140;;TBD;;DV;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP151;;TBD;;DV;;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT221;;TBD;;dan0;;;;01 - IS Exterior;Honda
STOCK;Touchpad;TP366;;TBD;;DAN0;MISSING;;;01 - IS Exterior;Honda
STOCK;Remote Tuner;RT544;;TBD;;dan0;MISSING;;;01 - IS Exterior;Honda
